,Info,Name-PGN-Site,PGN File,NameForJSON,First Name,Last Name,Wiki-FirstName,Wiki Name,Birth Date,Death Date,Year Grandmaster,Country,Wikipedia Page,Name For Wiki Search,Wikipedia Search Link,Wiki Search Results,First Wiki Result,wiki_url,wiki_summary,Wiki Page Title
61,"Vugar Gashimov, 953 games",Vugar Gashimov,Gashimov.pgn,Gashimov,Vugar,Gashimov,Vugar,Vugar Gashimov ,1986-07-24,2014-01-11,2002-01-01, Azerbaijan,,Vugar+Gashimov+chess,https://en.wikipedia.org/w/index.php?search=Vugar+Gashimov+chess,"['Vugar Gashimov', 'Shamkir Chess', 'Gashimov', 'Vugar', 'Konstantin Chernyshov', 'Yuriy Kryvoruchko', 'Sergey Fedorchuk', 'Andrei Deviatkin', 'Eltaj Safarli', 'Alexander Goloshchapov']",Vugar Gashimov,https://en.wikipedia.org/wiki/Vugar_Gashimov,"Vugar Gashimov (Azerbaijani: Vüqar Həşimov; 24 July 1986 – 11 January 2014) was an Azerbaijani chess grandmaster. He was a noted player of blitz chess. At his peak ranking he was No. 6 in the world, achieved in November 2009.
He won the Athens 2005 (Acropolis International), and tied for first at the Cappelle-la-Grande open in 2007, he again tied for first and was winning it on tie-break in 2008. He won the strong and traditional invitation tournament at Reggio Emilia in 2010-11 on tie-break above Francisco Vallejo Pons.",Vugar Gashimov
62,"Boris Gelfand, 3001 games",Boris Gelfand,Gelfand.pgn,Gelfand,Boris,Gelfand,Boris,Boris Gelfand ,1968-06-24,,1989-01-01, Israel,,Boris+Gelfand+chess,https://en.wikipedia.org/w/index.php?search=Boris+Gelfand+chess,"['Boris Gelfand', 'Gelfand', 'Boris Avrukh', 'Zurich Chess Challenge', 'Chess World Cup 2005', 'Alexander Huzman', 'World Chess Championship 2012', 'Amber chess tournament', 'Chess World Cup', 'Boris (given name)']",Boris Gelfand,https://en.wikipedia.org/wiki/Boris_Gelfand,"Boris Abramovich Gelfand (Belarusian: Барыс Абрамавіч Гельфанд, Barys Abramavich Hel'fand; Hebrew: בוריס אברמוביץ' גלפנד‎‎; born 24 June 1968) is an Israeli chess Grandmaster.
A six-time World Championship Candidate (1991, 1994-95, 2002, 2007, 2011, 2013), he won the Chess World Cup 2009 and the 2011 Candidates Tournament, making him Challenger for the World Chess Championship 2012. Although the match with defending champion Viswanathan Anand finished level at 6–6, Gelfand lost the deciding rapid tie break 2½–1½.
Gelfand has won major tournaments at Wijk aan Zee, Tilburg, Moscow, Linares and Dos Hermanas. He has competed in eleven Chess Olympiads and has held a place within the top 30 players ranked by FIDE rating since January 1990.",Boris Gelfand
63,"Efim Geller, 2198 games",Efim Geller,Geller.pgn,Geller,Efim,Geller,Efim,Efim Geller,1925-03-02,1998-11-17,1952-01-01, Russia,,Efim+Geller+chess,https://en.wikipedia.org/w/index.php?search=Efim+Geller+chess,"['Efim Geller', 'Geller', 'World Chess Championship 1966', 'Albert Kapengut', 'Yuri Sakharov', 'World Chess Championship 1969', 'Iivo Nei', '1962 in chess', 'World Chess Championship 1963', '1973 in chess']",Efim Geller,https://en.wikipedia.org/wiki/Efim_Geller,"Efim Petrovich Geller (Russian: Ефим Петрович Геллер, Ukrainian: Юхим Петрович Геллер; March 8, 1925 – November 17, 1998) was a Soviet chess player and world-class grandmaster at his peak. He won the Soviet Championship twice (in 1955 and 1979) and was a Candidate for the World Championship on six occasions (1953, 1956, 1962, 1965, 1968, and 1971). He won four Ukrainian Championship titles (in 1950, 1957, 1958, and 1959) and shared first in the 1991 World Seniors' Championship, winning the title outright in 1992.
Geller was also a coach to World Champions Boris Spassky and Anatoly Karpov. He was also an author.",Efim Geller
64,"Kiril Georgiev, 2570 games",Kiril Georgiev,Georgiev.pgn,Georgiev,Kiril,Georgiev,Kiril,Kiril Georgiev ,1965-11-28,,1985-01-01, Bulgaria,,Kiril+Georgiev+chess,https://en.wikipedia.org/w/index.php?search=Kiril+Georgiev+chess,"['Kiril Georgiev', 'Kiril Georgiev (cyclist)', 'Kiril Georgiev (footballer)', 'Georgiev', 'Dimitrios Mastrovasilis', 'Atanas Kolev', 'Georg Meier (chess player)', 'Kiril Raykov', 'Stanislav Georgiev', 'Mircea Pârligras']",Kiril Georgiev,https://en.wikipedia.org/wiki/Kiril_Georgiev,"Kiril Dimitrov Georgiev (Bulgarian: Кирил Димитров Георгиев; born 28 November 1965 in Petrich) is a Bulgarian chess grandmaster and six-time national champion.
Kiril Georgiev first caught the eye of the chess world in 1983, when he became the World Junior Champion with an unusually strong score of 11½ out of 13. This result automatically gave him the International Master title. Two years later, FIDE awarded him the International Grandmaster title.
In the process of becoming the Bulgarian Champion of 1984 (shared), 1986 and 1989, he rapidly became recognised as Bulgaria's number one player, taking over from Ivan Radulov and eventually giving way to Veselin Topalov. He has represented his country at the Chess Olympiad many times, playing on either board 1 or 2. Exceptionally, in 2002 he played for Macedonia, while he was temporarily resident there.
His record in international competition has been remarkable, considering that he has never quite reached supergrandmaster status (Elo 2700 or above). He was a winner at Sarajevo 1986 (and would meet board boy Ivan Sokolov there again, some 15 years later), San Bernardino 1988, Elenite (Burgas) 1992 (ahead of Sokolov, Topalov, Josif Dorfman, Yuri Razuvayev and Vassilios Kotronias) and the 1993 Budapest Zonal (ahead of Judit Polgár and Ľubomír Ftáčnik). He repeated his Elenite success in 1995 (with Topalov, ahead of Nigel Short, Boris Gulko and Sergey Dolmatov) and won at Belgrade 2000 (ahead of Alexander Beliavsky and Ulf Andersson).
Since 2000, his achievements have been no less impressive. First at Sarajevo 2001 (his first Category 16 tournament win - ahead of Topalov, Ilya Smirin, Alexei Dreev and Ivan Sokolov) and first at Bad Worishofen 2002. At Gibraltar Chess Festival, he was joint winner (with Levon Aronian, Zahar Efimenko, Alexei Shirov and Emil Sutovsky) in 2005 and the outright winner in 2006 (ahead of Short, Sutovsky, Shirov, Vladimir Akopian and Viktor Bologan) with an 8½/10 score. This was also the year that he won a bronze medal at the European Individual Chess Championship (behind Zdenko Kozul and Vassily Ivanchuk). At the Aeroflot Open in Moscow, he finished only a half point off the lead.
Accordingly, these results have caused his Elo rating to advance rapidly during 2005 and 2006, reaching 2680 in July 2006, and placing him at number 26 in the (FIDE) World's 100 top players.
Georgiev has also participated in the World Chess Championship cycle. In 1990, he qualified for the Interzonal Tournament in Manila and placed a creditable 14th out of 64, surpassing expectation and losing only to Alexei Dreev. At Groningen in 1997, he lost in round 4 to Loek van Wely. In December 2009, he tied for 1st-4th with Georg Meier, Julio Granda and Viktor Láznička in the 19th Magistral Pamplona Tournament. In 2010, he came third at the World Chess Open in León. In 2011 he won the 29th Andorra Open.
In 2009, he broke the world record for the most simultaneous chess games played: 360 games in just over 14 hours. He won 280, drew 74 and lost 6 for a total score of 88%. A score of at least 80% was required for the record to be accepted.
He won the Bulgarian championship again for three consecutive years, in 2013, 2014 and 2015.",Kiril Georgiev
65,"Anish Giri, 1390 games",Anish Giri,Giri.pgn,Giri,Anish,Giri,Anish,Anish Giri ,1994-06-28,,2009-01-01, Netherlands,,Anish+Giri+chess,https://en.wikipedia.org/w/index.php?search=Anish+Giri+chess,"['Anish Giri', 'Anish', 'Giri', 'Sopiko Guramishvili', 'Overloading (chess)', 'Norway Chess', 'Arthur Ssegwanyi', 'Nepalis in Russia', 'Vladimir Chuchelov', 'Shamkir Chess']",Anish Giri,https://en.wikipedia.org/wiki/Anish_Giri,"Anish Kumar Giri (born June 28, 1994) is a Russian-born Dutch Grandmaster and former chess prodigy. He achieved the grandmaster title at the age of 14 years and 7 months.
Giri is a four-time Dutch Chess Champion (2009, 2011, 2012, and 2015) and won the Corus Chess B Group in 2010. He has represented the Netherlands at four Chess Olympiads (2010, 2012, 2014, 2016). He also won at the 2012 Reggio Emilia tournament.",Anish Giri
66,"Svetozar Gligoric, 2898 games",Svetozar Gligoric,Gligoric.pgn,Gligoric,Svetozar,Gligoric,Svetozar,Svetozar Gligorić,1923-02-23,2012-08-14,1951-01-01, Serbia,,Svetozar+Gligoric+chess,https://en.wikipedia.org/w/index.php?search=Svetozar+Gligoric+chess,"['Svetozar Gligorić', 'Svetozar', 'Burt Hochberg', 'Lone Pine International', 'Mladen Šubarić', 'Mar del Plata chess tournament', 'World Chess Championship 1969', 'San Antonio 1972 chess tournament', 'Zadok Domnitz', 'Vasilije Tomović']",Svetozar Gligorić,https://en.wikipedia.org/wiki/Svetozar_Gligori%C4%87,"Svetozar Gligorić (Serbian: Светозар Глигорић, 2 February 1923 – 14 August 2012) was a Serbian and Yugoslav chess grandmaster. He won the championship of Yugoslavia a record twelve times, and is considered the best player ever from Serbia. In 1958 he was declared the best athlete of Yugoslavia.
In the 1950s and 1960s Gligorić was one of the top players in the world, and also among the world's most popular, owing to his globe-trotting tournament schedule and a particularly engaging personality, reflected in the title of his autobiography, I Play Against Pieces. (I.e., playing without hostility toward the opponent, or playing differently against different players for ""psychological"" reasons; playing the board and not the man.)",Svetozar Gligorić
67,"Alexander Goldin, 901 games",Alexander Goldin,Goldin.pgn,Goldin,Alexander,Goldin,Alexander,Alexander Goldin ,1965-02-27,,1989-01-01, United States,,Alexander+Goldin+chess,https://en.wikipedia.org/w/index.php?search=Alexander+Goldin+chess,"['Alexander Goldin', 'Goldin', 'Claudia Goldin', 'World Open chess tournament', 'Alexander Onischuk', 'Giovanni Vescovi', 'Björk: Archives', '1996 in chess', 'Aleksandr Mikhailovich Orlov', 'David Armstrong (photographer)']",Alexander Goldin,https://en.wikipedia.org/wiki/Alexander_Goldin,"Alexander Goldin (born 27 February 1964) is an American chess grandmaster of Russian origin.
He was a joint winner of the Soviet Championship semifinal at Sevastopol in 1986 (a qualifier for the 1987 First League Final). Other tournament successes include winning the Philadelphia's World Open in 1998 and 2001. In 2003 Goldin won the American Continental Chess Championship in Buenos Aires edging out on tiebreak score Giovanni Vescovi, after both players scored 8.5/11.
In team chess, he played board three for the US team at the 2004 Chess Olympiad in Calvià and registered a 65% score.",Alexander Goldin
68,"Julio Granda Zuniga, 1795 games",Julio Granda Zuniga,GrandaZuniga.pgn,GrandaZuniga,Julio,Granda Zuniga,Julio,Julio Granda Zúñiga ,1967-02-25,,1986-01-01, Peru,,Julio+Granda+Zuniga+chess,https://en.wikipedia.org/w/index.php?search=Julio+Granda+Zuniga+chess,"['Julio Granda', 'Zúñiga (surname)', 'Diego Flores', 'Alexandr Fier', 'Manuel Alejandro', 'Eric Hansen (chess player)', 'David Howell (chess player)', 'Peruvian Chess Championship', 'South American Chess Championship', 'Capablanca Memorial']",Julio Granda,https://en.wikipedia.org/wiki/Julio_Granda,"Julio Ernesto Granda Zúñiga (born February 25, 1967) is a Peruvian chess grandmaster and four-time American continental champion.",Julio Granda
69,"Alexander Grischuk, 2555 games",Alexander Grischuk,Grischuk.pgn,Grischuk,Alexander,Grischuk,Alexander,Alexander Grischuk ,1983-10-31,,1999-01-01, Russia,,Alexander+Grischuk+chess,https://en.wikipedia.org/w/index.php?search=Alexander+Grischuk+chess,"['Alexander Grischuk', 'Alexander Shabalov', 'Leinier Domínguez', 'Sergei Rublevsky', '2011 in chess', 'Aeroflot Open', 'Arnaud Hauchard', 'Chess World Cup 2005', 'Tal Memorial', 'Chess World Cup 2011']",Alexander Grischuk,https://en.wikipedia.org/wiki/Alexander_Grischuk,"Alexander Igorevich Grischuk (Russian: Алекса́ндр И́горевич Грищу́к; born October 31, 1983) is a Russian chess grandmaster and Russian champion in 2009. He has won two team gold medals and one individual bronze medal at Chess Olympiad. He was a member of the gold medal-winning Russian team at the 2013 World Team Chess Championship in Antalya. Grischuk is also a three-time world champion in blitz chess.",Alexander Grischuk
70,"Boris Gulko, 1874 games",Boris Gulko,Gulko.pgn,Gulko,Boris,Gulko,Boris,Boris Gulko ,1947-02-09,,1976-01-01, United States,,Boris+Gulko+chess,https://en.wikipedia.org/w/index.php?search=Boris+Gulko+chess,"['Boris Gulko', 'Gulko', 'Anna Akhsharumova', 'István Csom', 'Gregory Serper', 'Gilberto Hernández Guerrero', 'Daniel Cámpora', 'Wade Defence', 'Tal Shaked', 'Batchimeg Tuvshintugs']",Boris Gulko,https://en.wikipedia.org/wiki/Boris_Gulko,"Boris Franzevich Gulko (Russian: Борис Францевич Гулько; IPA: [bɐˈrʲis ɡʊlʲˈko]; born February 9, 1947) is a Soviet-American International Grandmaster in chess. His peak Elo rating was 2644 in 2000.
Gulko is noted to be the only person to win both the Soviet Chess Championship and the U.S. Chess Championship, and for having a positive score against Garry Kasparov.",Boris Gulko
71,"Isidor Gunsberg, 319 games",Isidor Gunsberg,Gunsberg.pgn,Gunsberg,Isidor,Gunsberg,,,,,,,,Isidor+Gunsberg+chess,https://en.wikipedia.org/w/index.php?search=Isidor+Gunsberg+chess,"['Isidor Gunsberg', 'Gunsberg', 'Mephisto (automaton)', 'Martin Bier', 'Max Harmonist', 'Arnold Schottländer', 'World Chess Championship 1891', 'Jean Taubenhaus', 'Isidore', 'Josef Noa']",Isidor Gunsberg,https://en.wikipedia.org/wiki/Isidor_Gunsberg,"Isidor Arthur Gunsberg (1 November 1854 – 2 May 1930) was a Hungarian chess player, best known for narrowly losing the 1891 World Chess Championship match to Wilhelm Steinitz.",Isidor Gunsberg
72,"Dmitry Gurevich, 1714 games",Dmitry Gurevich,GurevichD.pgn,GurevichD,Dmitry,Gurevich,Dmitry,Dmitry Gurevich ,1956-09-11,,1983-01-01, United States,,Dmitry+Gurevich+chess,https://en.wikipedia.org/w/index.php?search=Dmitry+Gurevich+chess,"['Dmitry Gurevich', 'Gurvich', 'Liubov Gurevich', 'Mikoyan-Gurevich Ye-150 family', 'Mikoyan-Gurevich I-250', 'Mikoyan-Gurevich DIS', 'Mikoyan-Gurevich I-75', 'Yehuda Gruenfeld', 'Mikoyan-Gurevich MiG-9', 'Mikoyan-Gurevich MiG-3']",Dmitry Gurevich,https://en.wikipedia.org/wiki/Dmitry_Gurevich,"Dmitry Gurevich (born 11 September 1956, Moscow, Russia) is a Russian-American chess grandmaster.
Gurevich emigrated to New York City in 1980 and earned the grandmaster title three years later. Dmitry has tied or won the U.S. Open four times (in 1988, 1994, 2009, and 2012). Also, Gurevich has had especially good results at the National Open in Las Vegas, sharing first place on numerous occasions, e.g. 1985, 1986, 1990, 1991, 1996, 1997, and 2005. He has been a regular finisher at the top of North American events as well as a regular participant in the U.S. Invitational Championship.",Dmitry Gurevich
73,"Mikhail Gurevich, 2411 games",Mikhail Gurevich,GurevichM.pgn,GurevichM,Mikhail,Gurevich,Dmitry,,,,,,,Mikhail+Gurevich+chess,https://en.wikipedia.org/w/index.php?search=Mikhail+Gurevich+chess,"['Mikhail Gurevich', 'Mikhail Gurevich (aircraft designer)', 'Mikhail Gurevich (chess player)', 'Mikhail Gurevich (psychiatrist)', 'Gurvich', 'Mikoyan-Gurevich MiG-6', 'Mikoyan', 'Aron Gurevich', 'Mikoyan-Gurevich I-211', 'Suat Atalık']",Mikhail Gurevich,https://en.wikipedia.org/wiki/Mikhail_Gurevich_(chess_player),"Mikhail Naumovich Gurevich (born 1959) is a Soviet chess player. He was a top ten ranked player from 1989–1991. Gurevich became an International Grandmaster in 1986, and is currently an FIDE arbiter and senior trainer.",Mikhail Gurevich (chess player)
74,"Pentala Harikrishna, 1749 games",Pentala Harikrishna,Harikrishna.pgn,Harikrishna,Pentala,Harikrishna,Pendyala,Pendyala Harikrishna ,1986-05-10,,2001-01-01, India,,Pentala+Harikrishna+chess,https://en.wikipedia.org/w/index.php?search=Pentala+Harikrishna+chess,"['Pentala Harikrishna', 'S. P. Sethuraman', 'Martyn Kravtsiv', 'Zhao Jun (chess player)', 'Canadian Open Chess Championship', 'Abhijeet Gupta', 'Baskaran Adhiban', 'Giovanni Vescovi', 'Sergei Rublevsky', 'China Chess League']",Pentala Harikrishna,https://en.wikipedia.org/wiki/Pentala_Harikrishna,"Pentala Harikrishna (born May 10, 1986) is a chess Grandmaster from Guntur, Andhra Pradesh, India. He became the youngest grandmaster from India on September 12, 2001, a record now held by Parimarjan Negi. He was Commonwealth Champion in 2001, World Junior Champion in 2004 and Asian Individual Champion in 2011.
Harikrishna won the Tata Steel Group B in 2012 and the Biel MTO Masters Tournament Open event in 2013. He represented India at seven Chess Olympiads from 2000 to 2012 and won team Bronze at the World Team Chess Championships in 2010. At the Asian Team Championships, Harikrishna won team gold once, team silver twice and individual bronze once.
In February 2013, Harikrishna's FIDE rating passed 2700 for the first time. He broke into the top ten players in the world in November 2016 with a FIDE rating of 2768.",Pentala Harikrishna
75,"Vlastimil Hort, 3104 games",Vlastimil Hort,Hort.pgn,Hort,Vlastimil,Hort,Vlastimil,Vlastimil Hort,1944-01-12,,1965-01-01, Germany,,Vlastimil+Hort+chess,https://en.wikipedia.org/w/index.php?search=Vlastimil+Hort+chess,"['Vlastimil Hort', 'Hort', 'Vlastimil', 'Czechoslovak Chess Championship', 'The Master Game', 'Burt Hochberg', 'Czech Chess Championship', 'World Chess Championship 1969', 'Lhamsuren Myagmarsuren', 'Tüdeviin Üitümen']",Vlastimil Hort,https://en.wikipedia.org/wiki/Vlastimil_Hort,"Vlastimil Hort (born 12 January 1944) is a Czechoslovak-born German chess Grandmaster. During the 1960s and 1970s he was one of the world's strongest players and reached the 1977–78 Candidates Tournament for the World Chess Championship, but never qualified for a competition for the actual title.
Hort was born in Kladno, Czechoslovakia and was a citizen of Czechoslovakia for the first part of his chess career, winning national championships in 1970, 1971, 1972, 1975, and 1977. He achieved the Grandmaster title in 1965 as a Czechoslovak citizen. While playing for Czechoslovakia he won a number of major tournaments (Hastings 1967–68, Skopje 1969, etc.), gaining recognition as one of the strongest non-Soviet players in the world. This led to him representing the ""World"" team in the great ""USSR vs. Rest of the World"" match of 1970, where he occupied fourth board and had a +1 score against the Soviet Grandmaster Lev Polugaevsky—in some regards his greatest result. He defected to the West after the 1985 Tunis Interzonal, moving to West Germany and winning the national championship of his new homeland in 1987, 1989, and 1991.",Vlastimil Hort
76,"Bernhard Horwitz, 113 games",Bernhard Horwitz,Horwitz.pgn,Horwitz,Bernhard,Horwitz,,,,,,,,Bernhard+Horwitz+chess,https://en.wikipedia.org/w/index.php?search=Bernhard+Horwitz+chess,"['Bernhard Horwitz', 'Horwitz', 'Berlin Pleiades', 'Josef Kling', 'John William Schulten', 'Staunton Gambit', 'Philipp Hirschfeld', 'József Szén', 'London 1851 chess tournament', 'Marmaduke Wyvill (chess player)']",Bernhard Horwitz,https://en.wikipedia.org/wiki/Bernhard_Horwitz,"Bernhard Horwitz (1807 in Neustrelitz – 1885) was a German chess master and chess writer.
Horwitz was born in Neustrelitz, and went to school in Berlin, where he studied art. From 1837 to 1843, he was part of a group of German chess players known as ""The Pleiades"".
He moved to London in 1845. In 1846, he lost a match against visiting master Lionel Kieseritzky, and another against Howard Staunton, losing 15.5-8.5. His best chess result was winning a match against Henry Bird in 1851. He played in the first international chess tournament, London 1851, again beating Bird in the first round, but losing to Staunton in the second and József Szén in the third.
Horwitz's Chess Studies (1851), co-authored with Josef Kling, is an important work on the endgame study and endgames in general.",Bernhard Horwitz
77,"Hou Yifan, 1492 games",Hou Yifan,Hou.pgn,Hou,Hou,Yifan,Hou,Hou Yifan ,1994-02-27,,2008-01-01, China,,Hou+Yifan+chess,https://en.wikipedia.org/w/index.php?search=Hou+Yifan+chess,"['Hou Yifan', ""Women's World Chess Championship 2013"", 'Gibraltar Chess Festival', 'Hou (surname)', ""Women's World Chess Championship 2011"", ""Women's World Chess Championship 2016"", '2016 in chess', ""Women's World Chess Championship"", 'Vladimir Chuchelov', ""FIDE Women's Grand Prix 2013–14""]",Hou Yifan,https://en.wikipedia.org/wiki/Hou_Yifan,"Hou Yifan (Chinese: 侯逸凡; pinyin: Hóu Yìfán  pronunciation ) (born 27 February 1994, Xinghua, Jiangsu, China) is a Chinese chess grandmaster and former chess prodigy. She has been the Women's World Chess Champion three times, the youngest ever to win the title, as well as the youngest female player ever to qualify for the title of Grandmaster.
At the age of 12, Hou became the youngest player ever to participate in the FIDE Women's World Championship (Yekaterinburg 2006) and the Chess Olympiad (Torino 2006). In June 2007, she became China's youngest National Women's Champion ever. She achieved the titles of Woman FIDE Master in January 2004, Woman Grandmaster in January 2007, and Grandmaster in August 2008. In 2010, she won the 2010 Women's World Championship in Hatay, Turkey at age 16. She has since been the Women's World Chess Champion about half the time: she won all the championships in which the title was decided by a match without losing a game (in 2011, 2013 and 2016, with a total of ten wins to zero losses and 14 draws against three different opponents), but was either eliminated early or declined to participate in the later championships in which the title was decided by a knockout tournament (in 2012, 2015 and 2017).
Hou is the third woman ever to be rated among the world's top 100 players, after Maia Chiburdanidze and Judit Polgár, in the August 2014 FIDE rating list. She is widely regarded as the best active female chess player, ""leaps and bounds"" ahead of her competitors. She is the current top-rated female player, 83 points ahead of Ju Wenjun.",Hou Yifan
78,"Robert Huebner, 2136 games",Robert Huebner,Huebner.pgn,Huebner,Robert,Huebner,,,,,,,,Robert+Huebner+chess,https://en.wikipedia.org/w/index.php?search=Robert+Huebner+chess,"['Robert Huebner', 'Hübner', 'George Huebner', 'Clarence R. Huebner', 'Robert Hübner', 'David Huebner', 'Mentor Huebner', 'Rickettsia akari', 'Charles Pomerantz', 'Rickettsialpox']",Robert Huebner,https://en.wikipedia.org/wiki/Robert_Huebner,"Robert Joseph Huebner (pronounced Hue-b-ner; February 23, 1914 – August 26, 1998), was an American physician and virologist whose research into viruses, their causes and treatment that led to his breakthrough insights into the connections between viruses and cancer, leading to new treatments, as well as his hypothesized oncogene, which was discovered to be a trigger for normal cells turning cancerous.",Robert Huebner
79,"Ildar Ibragimov, 1448 games",Ildar Ibragimov,Ibragimov.pgn,Ibragimov,Ildar,Ibragimov,Alibek,,,,,,,Ildar+Ibragimov+chess,https://en.wikipedia.org/w/index.php?search=Ildar+Ibragimov+chess,"['Ildar Ibragimov', 'Ibragimov', 'Ildar', 'Borell–TIS inequality', 'List of Tatars', 'Everybody Dance! (TV series)', 'Saint Petersburg Mathematical Society', 'List of people from Ufa', 'List of people from Kazan', 'List of Russian chess players']",Ildar Ibragimov,https://en.wikipedia.org/wiki/Ildar_Ibragimov,"Ildar Ibragimov (Tatar: Илдар Ибраһимов, İldar İbrahimov; Russian: Ильдар Ибрагимов; born 16 August 1967) is a chess Grandmaster. He played in the bronze medal-winning USA team in the 2006 Chess Olympiad. He was ranked No. 73 in January 2006 with a rating of 2635, while his peak rating of 2637 was achieved in April 2006.
Born in Kazan, Russia, he was equal first alongside Vladimir Kramnik and Andrei Kharlov at the 1991 USSR Under-26 Championship. He was awarded the Grandmaster title in 1993. Ibragimov won the Chigorin Memorial in 1994 and the Biel Masters Open Tournament in 1997. In 2002 he started to play for the United States, where he has lived in New Haven, Connecticut. He was a co-winner of the 2004 U.S. Open and was equal third in the 2006 U.S. Chess Championship. He tied for first in the 2006 World Open. In 2015 Ibragimov returned to the Russian Chess Federation.
He is an ethnic Tatar.",Ildar Ibragimov
80,"Miguel Illescas Cordoba, 1396 games",Miguel Illescas Cordoba,IllescasCordoba.pgn,IllescasCordoba,Miguel,Illescas Cordoba,Miguel,Miguel Illescas ,1965-12-03,,1988-01-01, Spain,,Miguel+Illescas+Cordoba+chess,https://en.wikipedia.org/w/index.php?search=Miguel+Illescas+Cordoba+chess,"['Miguel Illescas', 'Miguel Roa', 'Roman Catholic Diocese of Zamora in Spain', 'Bernal Díaz del Castillo', '2015–16 Tercera División', 'Roman Catholic Diocese of Ourense', 'Toledo, Spain', '2017 in basketball', 'History of the Jews in Spain', 'Andalusian independentist conspiracy (1641)']",Miguel Illescas,https://en.wikipedia.org/wiki/Miguel_Illescas,"Miguel Illescas Córdoba (born December 3, 1965 in Barcelona) is a prominent Spanish grandmaster of chess.
He was a highly skilled player as a youngster and became junior champion of Catalonia at the age of 12. A trained computer scientist, chess remained his real passion and continued progress brought him an International Master title in 1986, followed by the Grandmaster title in 1988. Illescas rapidly became Spain's strongest and most consistent player over many years, registering his country's highest ever Elo rating (2620) in 1993, making him at the time, world number 26. His 1993 match with Ljubomir Ljubojević ended 4-4, with all eight games drawn.
Around this time, he established his own chess school - La Escuela de Ajedrez de Miguel Illescas, or EDAMI for short. The school is flexibly structured and allows for students to learn at sessions held in the schools around Barcelona, or on the internet or as private lessons. EDAMI also acts as a chess supplier and not unlike the London Chess Centre, provides a shop, publishes a regular chess magazine and arranges events such as tournaments, simultaneous displays and the like.
As a young man, Illescas' tournament results were noteworthy; 1st= Las Palmas 1987 and 1988, 1st Oviedo 1991, 1st= Pamplona 1991/92 (with Leonid Yudasin), 2nd= Leon 1992 (after Boris Gulko), 3rd Chalkidiki 1992 (after Vladimir Kramnik and Joël Lautier), 1st Lisbon Zonal 1993 and 2nd Wijk aan Zee 1993 (after Anatoly Karpov). He kept winning during the latter part of the nineties also; 1st Linares (MEX) 1994, 1st Linares (ESP) Zonal 1995, 1st= Madrid 1996 (with Veselin Topalov) and 1st= Pamplona 1997/98 (with Ulf Andersson). More recently he finished 1st= at Pamplona in 2003, this time sharing victory with Luke McShane and Emil Sutovsky.
So far, he has won the Spanish national championship of 1995, 1998, 1999, 2001, 2004, 2005, 2007 and 2010. In team competition, he has represented his country at many Olympiads from 1986 onwards and won an individual bronze medal at Turin in 2006.
In 1997, he was appointed to the IBM-led team that prepared the super-computer Deep Blue in the build up to a second match with Garry Kasparov. Working with Joel Benjamin, Nick DeFirmian and John Fedorowicz, the project and match result were an unreserved success and this undoubtedly enhanced his reputation as an analyst, team player and perhaps most importantly, someone who understood the psyche of the incumbent world champion better than most.
Consequently, he was a logical choice to join Kramnik as a second for his world championship clash with Kasparov in 2000. Kramnik became champion and the winning partnership was restored for the 2004 defence against Peter Leko and the 2006 reunification match with Topalov ( - curiously, Topalov chose to include Illescas' compatriot Francisco Vallejo Pons in his own team of seconds). Illescas sees himself as part coach and part guru in these situations, involving himself with not just the chess analysis, but also the thought process and personality traits of the opponent.
In 2004 he was awarded the title of FIDE Senior Trainer.
As a sideline, he has also developed an interest in Fischer-Random chess and even laid down a challenge to Bobby Fischer to play a match with him.
With the arrival of super-grandmaster Alexei Shirov in 1994 and the subsequent emergence of Vallejo Pons as a world-class grandmaster, Illescas may no longer be Spanish number one, but he remains a tough and widely respected competitor.",Miguel Illescas
81,"Ernesto Inarkiev, 1502 games",Ernesto Inarkiev,Inarkiev.pgn,Inarkiev,Ernesto,Inarkiev,Ernesto,Ernesto Inarkiev ,1985-12-09,,2002-01-01, Russia,,Ernesto+Inarkiev+chess,https://en.wikipedia.org/w/index.php?search=Ernesto+Inarkiev+chess,"['Ernesto Inarkiev', 'Constantin Lupulescu', 'Konstantin Chernyshov', 'Ildar Khairullin', 'Blunder (chess)', 'Tempo (chess)', 'China Chess League', 'FIDE Grand Prix 2008–10', 'Evgeny Bareev', 'List of Russian chess players']",Ernesto Inarkiev,https://en.wikipedia.org/wiki/Ernesto_Inarkiev,"Ernesto Inarkiev (Russian: Эрнесто Инаркиев; born 9 December 1985) is a Russian chess grandmaster, the first ever from Kalmykia.",Ernesto Inarkiev
